id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
188,3494.056965912559,859.2264512181824,0.27127260715227813,0.6948137025472721,-0.21969137797969343,25,152.9612902456271,2403.440654052746,-8.452083507408163,-0.37460998053545314
189,1129.275033173921,861.1178698642163,0.2903675643610958,0.008139808523467356,-0.8965547084857599,25,106.70394415563536,1453.908886012293,-7.906342977205139,-0.15319633361415572
190,3721.748534173045,865.4554397671733,0.45609874039395104,0.3060829704795739,-0.6425943785721357,25,128.98351698822734,1535.2266318131442,-7.965431238915287,-0.06418718720385518
191,2614.9106150290104,867.0282142744936,0.3526168915829874,0.1517455049300034,-0.9523701776186136,25,131.70767070103028,1977.472220209063,-8.24027597796581,-0.01524880646150972
192,2346.6919368671292,870.5106104195422,0.3947511636284846,-0.07356372649250108,-0.8549715091801802,25,151.09647659435294,2148.4711022567726,-8.330323791588292,-0.12374232584339159
193,2348.6483760379488,870.9435561808958,0.26716366169919586,-0.08062388050216748,-0.8160980526567643,25,118.84423146291194,1862.9100835137092,-8.175479733622483,-0.07590119783467898
194,3197.544621680792,873.8551467790088,0.5659829306337271,0.49467501469495684,-0.6062183523016439,25,147.394829016078,1849.8806258526863,-8.167859259918108,-0.019271568321490518
195,1990.7649430000477,877.4073507104204,0.3786101121253124,0.13882505371261644,-0.5106168920855654,25,164.0803224459616,2637.1047298614794,-8.552818444219794,-0.09254901020884285
196,93.69055494042078,882.9171238835272,0.4620478520162656,-0.3775404349288931,-0.6449933225029713,25,50.09220720343454,-397.9067103138357,nan,-0.08447653876444422
197,2402.4522264641982,885.203026145216,0.4864597081012871,0.4527484654083812,-0.7988014834695423,25,114.96076500529057,1060.2874963184158,-7.563559099802328,-0.1016312580361508
198,2107.6574414616953,886.6272961133759,0.43634781389629884,-0.36669553895471624,-0.7479715174820917,25,159.55555939122777,2344.4594651266907,-8.425106820855238,-0.11549167346801255
